日期,内容,来源
2011/6/8,中兴北美近三年复合增长131% 加速品牌扩张,赛迪网
2011/6/8,华为中兴再起专利波澜,
2011/6/8,中兴通讯交换机全球抢份额,工商时报
2011/6/9,中兴通讯委托中国银行为其借款5亿美元,
2011/6/9,中兴通讯 开通广州TD-LTE测试区域,证券时报网
2011/6/10,IPv6支撑500亿连接愿景 5股投资前景广阔,资本证券
2011/6/13,深市上市公司2010年度信息披露考核结束，信息披露质量总体情况良好,深交所
2011/6/13,周一A股共有15只股票发生20笔大宗交易,Wind
2011/6/13,周一资金净流入净流出十大个股名单,Wind
2011/6/13,中兴通讯：股东减持公司股份4849.5万股,Wind
2011/6/13,基金机构7天内增筹中兴通讯2亿元,
2011/6/13,高技术低估值双重诱惑 基金7天增筹中兴2亿,赛迪网
2011/6/13,中兴通讯将参与竞购北电网络专利资产,WSJ
2011/6/13,掌控核心技术 5类典型公司凸显吸引力,第一财经
2011/6/13,高技术低估值双重诱惑 基金7天增筹中兴通讯2亿元,资本证券
2011/6/14,周二资金净流入净流出十大个股名单,Wind
2011/6/14,中兴通讯：择机出售部分国民技术股份,Wind
2011/6/14,中兴通讯控股股东一笔套现12亿 大股东减持老虎出笼,资本证券
2011/6/14,中兴股东减持12.5亿 接盘方跻身第三股东,易观国际
2011/6/14,中兴通讯大股东套现12亿 业内称欲补员工激励资金,证券时报网
2011/6/15,中兴通讯20天狂抛国民技术获利1.88亿,资本证券
2011/6/15,中兴通讯称大股东“战略性减持”,
2011/6/15,溢价减持近5000万股 中兴通讯接盘者或现身半年报,中国经济网
2011/6/16,中兴通讯发布全球首款CDMA-LTE双模4T4R分布式基站系统,
2011/6/16,中兴通讯获“2010金蜜蜂?领袖型企业”,赛迪网
2011/6/16,险资重仓股34笔大宗交易,第一财经
2011/6/16,中兴美国悄然扩张,
2011/6/16,中兴通讯减持与被减持游戏或继续,
2011/6/16,美联邦法院裁定中兴通讯盗用美公司软件,SEMI
2011/6/17,本周43家公司在二级市场获重要股东减持,Wind
2011/6/17,中兴联合电信推全系列CDMA智能终端,
2011/6/17,海外扩张急需现金输血 中兴通讯密集抛售国民技术已套现3.6亿元,资本证券
2011/6/20,产业资本抛售急 大宗交易折价率扩大,第一财经
2011/6/21,长城证券：通信行业值得关注,Wind
2011/6/21,中兴通讯高清视频会议系统开拓北美市场,Wind
2011/6/21,84家上市公司本月遭重要股东减持,
2011/6/23,中兴通讯将为云计算注资1.5亿美元,证券市场周刊
